section,fund,account,dept_code,department,category,name,budget_2024,budget_2025,budget_2026,budget_2027,actual_2023,actual_2024,actual_2025
expenditure,county,1850-54319,1850,Cumberland County,County,Cumberland County tax,1525119.0,1593135.0,1680359.0,1904994.0,1313701.0,1525119.0,1579547.0
revenue,municipal,1000-41301,1000,Town Revenues,Revenue,EXCISE TAX-M.V.,2260000.0,2450000.0,2450000.0,2480000.0,,2348741.0,2484246.0
revenue,municipal,1000-41302,1000,Town Revenues,Revenue,EXCISE TAX-BOATS,28000.0,30000.0,30000.0,30000.0,,30187.0,31825.0
revenue,municipal,1000-42100,1000,Town Revenues,Revenue,AGENT FEES,30000.0,31000.0,31000.0,31000.0,,33403.0,37348.0
revenue,municipal,1000-42200,1000,Town Revenues,Revenue,VITAL RECORDS FEES,7100.0,7500.0,7500.0,7500.0,,8223.0,8001.0
revenue,municipal,1000-42300,1000,Town Revenues,Revenue,BUSINESS LICENSES,1300.0,1400.0,1400.0,1400.0,,1010.0,1320.0
revenue,municipal,1000-42400,1000,Town Revenues,Revenue,NOTARY FEES,800.0,1000.0,1000.0,1000.0,,1230.0,1340.0
revenue,municipal,1000-43100,1000,Town Revenues,Revenue,CODE ENFORCEMENT PERMITS/FEES,210000.0,340000.0,340000.0,275000.0,,323262.0,269362.0
revenue,municipal,1000-43200,1000,Town Revenues,Revenue,CONCEALED WEAPONS,400.0,300.0,300.0,300.0,,180.0,162.0
revenue,municipal,1000-43300,1000,Town Revenues,Revenue,ALARM PERMITS,4200.0,4600.0,4600.0,4600.0,,4785.0,4150.0
revenue,municipal,1000-43400,1000,Town Revenues,Revenue,PARKING TICKETS,1500.0,1500.0,1500.0,1500.0,,455.0,1480.0
revenue,municipal,1000-43500,1000,Town Revenues,Revenue,COURT OFFICERS,500.0,1200.0,1200.0,1200.0,,550.0,210.0
revenue,municipal,1000-43600,1000,Town Revenues,Revenue,INSURANCE REPORTS,900.0,900.0,900.0,900.0,,1110.0,1102.0
revenue,municipal,1000-44150,1000,Town Revenues,Revenue,PARAMEDIC SUPPORT (NY),24500.0,24400.0,24400.0,10500.0,,24400.0,24400.0
revenue,municipal,1000-44200,1000,Town Revenues,Revenue,RESCUE BILLING,220000.0,200000.0,200000.0,200000.0,,220000.0,200000.0
revenue,municipal,1000-44301,1000,Town Revenues,Revenue,MOORING FEES,65000.0,72000.0,72000.0,72000.0,,71227.0,72860.0
revenue,municipal,1000-44302,1000,Town Revenues,Revenue,LAUNCH FEES,18000.0,18000.0,18000.0,18000.0,,15589.0,17444.0
revenue,municipal,1000-44303,1000,Town Revenues,Revenue,SEASON PASSES,18000.0,18000.0,19000.0,19000.0,,19130.0,17230.0
revenue,municipal,1000-45100,1000,Town Revenues,Revenue,OTHER REVENUE,462000.0,12000.0,12000.0,7500.0,,12465.0,7361.0
revenue,municipal,1000-45300,1000,Town Revenues,Revenue,RECYCLING REVENUES,47000.0,42000.0,42000.0,42000.0,,38253.0,48458.0
revenue,municipal,1000-42400,1000,Town Revenues,Revenue,INTEREST EARNINGS,7000.0,180000.0,200000.0,200000.0,,270150.0,236339.0
revenue,municipal,1000-45500,1000,Town Revenues,Revenue,TAX INTEREST/LIEN FEES,42000.0,40000.0,40000.0,40000.0,,42506.0,58680.0
revenue,municipal,1000-45550,1000,Town Revenues,Revenue,Sewer interest and lien fees,5800.0,5800.0,5800.0,5800.0,,6934.0,6686.0
revenue,municipal,1000-46102,1000,Town Revenues,Revenue,HOMESTEAD REIMBURSEMENTS,616827.0,656599.0,563823.0,548207.0,,619565.0,574055.0
revenue,municipal,1000-45900,1000,Town Revenues,Revenue,SEWER FEES,570000.0,380000.0,380000.0,380000.0,,532628.0,365461.0
revenue,municipal,1000-45800,1000,Town Revenues,Revenue,TRANSFER STATION WINDOW STICKERS,5600.0,5600.0,7000.0,8000.0,,8464.0,8342.0
revenue,municipal,1000-46103,1000,Town Revenues,Revenue,VETERANS REIMBURSEMENTS,6200.0,5400.0,5400.0,5400.0,,5377.0,4858.0
revenue,municipal,1000-46104,1000,Town Revenues,Revenue,STATE REVENUE SHAR.,1520000.0,1790000.0,2000000.0,2300000.0,,1671980.0,1910821.0
revenue,municipal,1000-46105,1000,Town Revenues,Revenue,SNOWMOBILE REIMBURSEMENTS,700.0,200.0,200.0,200.0,,0.0,596.0
revenue,municipal,1000-46106,1000,Town Revenues,Revenue,BETE REIMBURSEMENT,262130.0,250000.0,190592.0,170224.0,,217915.0,190862.0
revenue,municipal,1000-46200,1000,Town Revenues,Revenue,BUDGETED USE OF SURPLUS,780000.0,750000.0,750000.0,750000.0,,780000.0,750000.0
expenditure,municipal,1100-52075,1100,Administration,General Government,Transfer to Technology Reserve,5000.0,5000.0,5000.0,5000.0,,5000.0,5000.0
expenditure,municipal,1115-FMLA State Insurance,1115,Benefits,General Government,FMLA State Insurance Act (1/2 1% of wages),0.0,16501.0,,,0.0,,
expenditure,municipal,1200-52075,1200,Police,Public Safety,Transfer to Technology Reserve,4000.0,4000.0,4000.0,4000.0,,4000.0,4000.0
expenditure,municipal,1210-52075,1210,Fire-Rescue,Public Safety,Transfer to Technology Reserve,4000.0,4000.0,4000.0,4000.0,,4000.0,4000.0
expenditure,municipal,1260-52075,1260,Harbor & Water,Public Safety,Transfer to Technology Reserve,300.0,300.0,300.0,300.0,,300.0,300.0
expenditure,municipal,1310-52075,1310,Highways,Public Works,Transfer to Technology Reserve,5000.0,5000.0,5000.0,5000.0,,5000.0,5000.0
expenditure,municipal,1320-52075,1320,Solid Waste,Public Works,Transfer to Technology Reserve,1500.0,1500.0,1500.0,1500.0,,1500.0,1500.0
expenditure,municipal,1330-52075,1330,Wastewater,Public Works,Transfer to Technology Reserve,3000.0,3000.0,3000.0,3000.0,,4015.0,3000.0
expenditure,municipal,1340-52075,1340,Mechanical,Public Works,Transfer to Technology Reserve,1000.0,1000.0,1000.0,1000.0,,1000.0,1000.0
expenditure,municipal,1500-52075,1500,Library,Public Services,Transfer to Technology Reserve,3000.0,3000.0,0.0,,,3000.0,
expenditure,municipal,1530-52075,1530,Parks & Recreation,Public Services,Transfer to Technology Reserve,2400.0,2400.0,2400.0,2400.0,,2400.0,2400.0
expenditure,municipal,1570-52260,1570,Community Services,Public Services,Community Behavioral Health Liason,0.0,11975.0,24299.0,41393.0,0.0,0.0,11975.0
expenditure,municipal,1570-52262,1570,Community Services,Public Services,Sustainability Coordinator,0.0,54102.0,91986.0,95465.0,0.0,0.0,43415.0
expenditure,municipal,1580-52075,1580,Planning & Development,Public Services,Transfer to Technology Reserve,2500.0,2500.0,2500.0,2500.0,,0.0,2500.0
expenditure,municipal,1800-53101,1800,Capital Reserves,Capital Programs,Fire-Rescue Equipment 0 Fees Fees Fees Fees,,,,,,,
expenditure,municipal,1800-53107,1800,Capital Reserves,Capital Programs,Wastewater net Fees Fees Fees Fees,,,,,,,
expenditure,municipal,1800-53128,1800,Capital Reserves,Capital Programs,New Climate Action (proposed for FY 23) Sligo Lease Sligo Lease Sligo Lease Sligo Lease,,,,,,,
revenue,municipal,1000-46101,1000,Town Revenues,Revenue,"GENERAL ASSISTANCE 54,600 125,512 net net",,,,,,,
revenue,municipal,1000-45901,1000,Town Revenues,Revenue,SEPTAGE FEE,0.0,0.0,19000.0,0.0,,0.0,0.0
revenue,municipal,1000-46109,1000,Town Revenues,Revenue,SOLAR/WIND REIMBURSEMENT,14408.0,0.0,0.0,12000.0,,0.0,18552.0
expenditure,municipal,1110-52090,1110,Insurances,General Government,FMLA State Insurance Act (1/2 1% of wages),0.0,15601.0,39468.0,41830.0,,0.0,5547.0
expenditure,municipal,1120-52114,1120,Town Buildings,General Government,Masonic Hall,15485.0,15832.0,16155.0,20491.0,,12324.0,13379.0
expenditure,municipal,1210-51014,1210,Fire-Rescue,Public Safety,Contract Incentives,0.0,0.0,6000.0,6000.0,,0.0,1094.0
expenditure,municipal,1310-52168,1310,Highways,Public Works,Technology,5500.0,5500.0,5500.0,5500.0,,3063.0,495.0
expenditure,municipal,1330-52191,1330,Wastewater,Public Works,Sludge Management,98000.0,98000.0,100000.0,114000.0,,81631.0,77176.0
expenditure,municipal,1400-51012,1400,General Assistance,Health & Welfare,Wages - Part Time,48520.0,50602.0,49828.0,51821.0,,31162.0,44947.0
expenditure,municipal,1800-53101,1800,Capital Reserves,Capital Programs,Fire-Rescue Equipment Fees Fees Fees Fees,,,,,,,
expenditure,municipal,1800-53129,1800,Capital Reserves,Capital Programs,Affordable housing reserve,10000.0,5000.0,5000.0,,,10000.0,
expenditure,municipal,1800-53126,1800,Capital Reserves,Capital Programs,Enviromental Health & Hazards,0.0,0.0,0.0,,,0.0,0.0
revenue,municipal,1000-46101,1000,Town Revenues,Revenue,GENERAL ASSISTANCE net net net net,,,,,,,
expenditure,municipal,1120-51011,1120,Town Buildings,General Government,Salaries and Wages,,0.0,0.0,37502.0,,,0.0
expenditure,municipal,1800-53101,1800,Capital Reserves,Capital Programs,Fire-Rescue Equipment Fees Fees Fees,,,,,,,
expenditure,municipal,1800-53107,1800,Capital Reserves,Capital Programs,Wastewater Fees 0 Fees Fees,,,,,,,
expenditure,municipal,1800-53121,1800,Capital Reserves,Capital Programs,Affordable housing reserve,,5000.0,5000.0,0.0,,,5000.0
